Filename                                                                                                                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/poly1305.c                                                                   71                71     0.00%           1                 1     0.00%         101               101     0.00%          10                10     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh-ecdsa-sk.c                                                              226               226     0.00%           9                 9     0.00%         249               249     0.00%         142               142     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh-ecdsa.c                                                                 287               271     5.57%          13                10    23.08%         350               321     8.29%         172               166     3.49%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh-ed25519-sk.c                                                            132               132     0.00%           8                 8     0.00%         149               149     0.00%          82                82     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh-ed25519.c                                                               194               169    12.89%          11                 8    27.27%         198               160    19.19%         110               100     9.09%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh-rsa.c                                                                   398               331    16.83%          17                13    23.53%         419               336    19.81%         234               197    15.81%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf-getput-basic.c                                                       410               289    29.51%          37                31    16.22%         471               347    26.33%         244               176    27.87%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf-getput-crypto.c                                                       98                85    13.27%           8                 7    12.50%         115                99    13.91%          54                48    11.11%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf-misc.c                                                               285               285     0.00%          14                14     0.00%         259               259     0.00%         172               172     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf.c                                                                    262               189    27.86%          23                15    34.78%         275               201    26.91%         168               134    20.24%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssherr-libcrypto.c                                                           12                12     0.00%           1                 1     0.00%          20                20     0.00%           8                 8     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssherr.c                                                                    127               127     0.00%           1                 1     0.00%         130               130     0.00%         126               126     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshkey.c                                                                   2316              2165     6.52%         121               105    13.22%        2600              2421     6.88%        1496              1420     5.08%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/xmalloc.c                                                                    35                35     0.00%           7                 7     0.00%          59                59     0.00%          20                20     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/crypto_api.h                                                                  4                 4     0.00%           1                 1     0.00%           5                 5     0.00%           2                 2     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/base64.c                                                      90                90     0.00%           2                 2     0.00%         125               125     0.00%          74                74     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/bcrypt_pbkdf.c                                                55                55     0.00%           2                 2     0.00%          81                81     0.00%          34                34     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/blowfish.c                                                   137               137     0.00%          13                13     0.00%         501               501     0.00%          38                38     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/bsd-closefrom.c                                               32                32     0.00%           2                 2     0.00%          32                32     0.00%          26                26     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/freezero.c                                                     4                 0   100.00%           1                 0   100.00%           6                 0   100.00%           2                 0   100.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/libressl-api-compat.c                                         38                38     0.00%           2                 2     0.00%          34                34     0.00%          24                24     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/port-net.c                                                    79                79     0.00%           6                 6     0.00%         117               117     0.00%          40                40     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/recallocarray.c                                               41                41     0.00%           1                 1     0.00%          36                36     0.00%          28                28     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/strlcat.c                                                     12                12     0.00%           1                 1     0.00%          21                21     0.00%          10                10     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/strlcpy.c                                                     13                13     0.00%           1                 1     0.00%          18                18     0.00%          12                12     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/strtonum.c                                                    30                30     0.00%           1                 1     0.00%          33                33     0.00%          22                22     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/timingsafe_bcmp.c                                              4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/vis.c                                                        191               191     0.00%           5                 5     0.00%         153               153     0.00%         158               158     0.00%
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/out/fuzz_driver/fuzz_driver_47.c                                                  12                 5    58.33%           4                 3    25.00%          19                 7    63.16%           6                 2    66.67%
experiment/promefuzz_600s/openssh__privkey_fuzz/cov_main.c                                                                                               18                 5    72.22%           1                 0   100.00%          36                11    69.44%          12                 4    66.67%

Files which contain no functions:
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/addr.h                                                                        0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/cipher.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/defines.h                                                                     0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/digest.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/log.h                                                                         0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/misc.h                                                                        0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/base64.h                                                       0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/openbsd-compat.h                                               0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/openssl-compat.h                                               0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/vis.h                                                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/poly1305.h                                                                    0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh.h                                                                         0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssh2.h                                                                        0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/ssherr.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshkey.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/build_cov/config.h                                                                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/log.h                                                                         0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/misc.h                                                                        0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/blf.h                                                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/openbsd-compat/vis.h                                                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
benchmark/oss_fuzz_harness/baselines/PromeFuzz/database/openssh/latest/code/sshbuf.h                                                                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                                                                  8564              8074     5.72%         522               478     8.43%       10209              9623     5.74%        5502              5251     4.56%
